Sample_Id	Sample_Label	Plate	Position	Syncom	Condition	Experiment
FER072	VarioDO_009	4	H09	DOV	control	VarioDO
FER073	VarioDO_010	4	A10	DOB	control	VarioDO
FER074	VarioDO_011	4	B10	DOB	control	VarioDO
FER075	VarioDO_012	4	C10	DOB	control	VarioDO
FER076	VarioDO_013	4	D10	Full	control	VarioDO
FER077	VarioDO_014	4	E10	Full	control	VarioDO
FER078	VarioDO_015	4	F10	Full	control	VarioDO
FER079	Fernanda_003	4	G10	NB	control	Fernanda
FER080	Fernanda_004	4	H10	NB	control	Fernanda
FER081	Fernanda_005	4	A11	NB	control	Fernanda
FER082	Fernanda_006	4	B11	CL28	control	Fernanda
FER083	Fernanda_007	4	C11	CL28	control	Fernanda
FER084	Fernanda_008	4	D11	CL28	control	Fernanda
FER085	Fernanda_009	4	E11	CL28	control	Fernanda
FER086	Fernanda_010	4	F11	CL28	control	Fernanda
FER087	Fernanda_016	4	G11	CL14	control	Fernanda
FER088	Fernanda_017	4	H11	CL14	control	Fernanda
FER089	Fernanda_018	4	A12	CL14	control	Fernanda
FER090	Fernanda_019	4	B12	CL14	control	Fernanda
FER091	Fernanda_020	4	C12	CL14	control	Fernanda
FER092	Fernanda_026	4	D12	CL28_CL14	control	Fernanda
FER093	Fernanda_027	4	E12	CL28_CL14	control	Fernanda
FER094	Fernanda_028	4	F12	CL28_CL14	control	Fernanda
FER095	Fernanda_029	4	G12	CL28_CL14	control	Fernanda
FER096	Fernanda_030	4	H12	CL28_CL14	control	Fernanda
