Gene	Mean_zscore_NoBacteriaTripartite	Mean_zscore_VariovoraxCL14	Mean_zscore_ArthrobacterCL28	Mean_zscore_Duoassociation	GLM_ArthrobacterCL28vsNB_log2FoldChange	GLM_ArthrobacterCL28vsNB_pvalue	GLM_ArthrobacterCL28vsNB_padj	GLM_ArthrobacterCL28vsDuoassociation_log2FoldChange	GLM_ArthrobacterCL28vsDuoassociation_pvalue	GLM_ArthrobacterCL28vsDuoassociation_padj	Mean_zscore_NoBacteriaDropout	Mean_zscore_Full	Mean_zscore_VariovoraxDropout	GLM_VariovoraxDropoutvsNB_log2FoldChange	GLM_VariovoraxDropoutvsNB_pvalue	GLM_VariovoraxDropoutvsNB_padj	GLM_VariovoraxDropoutvsFull_log2FoldChange	GLM_VariovoraxDropoutvsFull_pvalue	GLM_VariovoraxDropoutvsFull_padj
AT4G15370	-0.460417462937841	-0.617756080098429	1.39683151082245	-0.502824952961324	4.24189727002762	0.00157790467681845	NA	3.74547325567371	0.000497427313904212	0.0436344550765428	-1.0520736521162	-0.274073090483494	1.47998685941278	5.18577391081477	4.86841181991654e-06	0.0008633440708591	2.51477750524284	0.00014527233693452	0.0664062981689766
AT4G17500	-1.17922845792528	-0.27437376683158	1.20226092906725	-0.220350087480491	1.42235872800158	2.65739877390911e-08	8.54230636122572e-06	0.737384817446805	0.000344033031917403	0.0334297535931102	-0.839141466839297	0.266008181644231	-0.363533743549717	0.215045375558861	0.439992424736722	0.945812284132429	-0.30003762044309	0.270783295122377	0.961932551605622
AT4G20450	-1.06518363909238	0.0697507808125732	1.10086509648631	-0.531505693843464	3.16528345295936	0.000134943902023367	0.0130088777506124	1.76184627234253	0.00083319043226498	0.061394404017908	-0.00747891844357314	0.0461620045897358	-0.372663458161755	-0.270205068785063	0.749752172295662	0.98451841917434	-0.363368863506385	0.667442387890347	0.99227495013278
AT4G25220	-0.947392035273917	-0.243534506632875	1.25424979351257	-0.442280065715343	3.71509170725226	9.00856820498062e-06	0.00140287275807476	2.11871798075194	4.04533255862807e-05	0.00630299869115706	-0.884778892793147	-0.165880703771897	0.747651284077985	2.88140715329595	0.00264529215228549	0.103840609546986	1.43985701135491	0.0776173549738936	0.859798881032207
AT4G25790	-1.57736521033825	-0.234373785114831	1.20730707347523	-0.0265141621574558	3.06776574010337	7.33961231319972e-08	2.19225797289342e-05	1.00030119246507	0.0014412864914299	0.0865238193428698	-0.575785674525767	-0.879292602675372	1.31821946043542	2.1859519441808	0.000684311593583814	0.0417778839305334	2.00528670183346	0.00160367734700531	0.247794878068104
AT4G25820	-1.25945996298061	-0.217248796015282	1.34967850471586	-0.376753730912208	1.61035521724292	1.22012684105341e-16	3.70511850733218e-13	0.992512963620253	2.60184360271878e-10	4.42551914792442e-07	-0.584082033018978	-0.773245263450081	0.953031547328583	1.06978297663135	0.00071810211559735	0.0432306799591106	1.20636326677695	0.00015952785249704	0.0697746630667249
AT4G26010	-0.899877146034483	-0.0893074836899939	1.2078167799495	-0.578583008638814	0.789616613947227	1.60324542234317e-06	0.000307485595737816	0.654098248228033	4.45297079227178e-06	0.00106869787617299	-0.718383853790903	-0.856231515081703	1.01562901425659	0.933666209703564	4.43992438631399e-05	0.00501982182750207	0.975457552007495	2.17099654784102e-05	0.0175020078217688
AT4G28850	-1.25258593053116	-0.400227797196657	1.2938811448864	-0.142101789371051	4.8728947879595	8.16537422752196e-06	0.00129367929065609	2.02089520545546	1.51043209439798e-05	0.00282838802557404	-1.23391534037145	-0.48272492786574	1.23640224371692	5.5530040934291	1.14694999065503e-05	0.00170478087330274	3.04643261648525	0.000146837354380759	0.0664062981689766
AT4G34580	-0.613490968587816	-0.0810086987637847	1.15405424874738	-0.704950968830913	0.817105089439462	0.00162618388552527	0.0869521016142793	0.86368856238642	0.000173872081067267	0.0197161280370222	-0.607888934340952	-0.839951683477973	1.13699106734768	0.976824047684253	0.011861112052203	0.265935598152295	1.12446825764995	0.00449446240294038	0.420890514521821
AT4G37390	-0.727780804419343	-0.50679834251007	1.50196225263798	-0.558495427476305	2.37767129722604	1.42457921436083e-24	8.65194442855143e-21	2.16817253670144	5.21204728527303e-28	1.06383097139708e-23	-0.820717882604109	-0.68579757491662	1.37887912072985	2.01391680335958	1.97285906325851e-09	9.88668993268631e-07	1.86031581386754	2.22231617426091e-08	8.24123730062916e-05
AT4G40090	-0.965346777742605	-0.0074213365377351	1.15021879200099	-0.56358938881769	0.955019657410855	3.97868408794113e-06	0.000677491813853153	0.763280542033139	1.8254995936058e-05	0.00326844493027088	-0.584841242935106	-0.8176635005694	1.16011421287111	0.982582149182291	0.000169970389872284	0.0139450927832384	1.05348869652545	6.39554870055264e-05	0.039528754668549
AT5G02260	-0.603485419553911	-0.0936523367480859	1.05010596626448	-0.594362377784052	0.648838182289236	0.00112520312278314	0.0667791560166411	0.639971536691163	0.000244851738494167	0.0254983103796145	0.870078969577189	-0.662842628457761	0.523003087960227	-0.0750343906436091	0.756952313962414	0.985152271867673	0.315099491411778	0.207692293684727	0.946963488661796
