AGI code	Symbol	logFC	pVal	qVal
AT5G09720	AT5G09720	6.84E-01	2.58E-06	0.0001143
AT1G70940	PIN3	6.83E-01	1.24E-22	3.726E-20
AT5G65640	bHLH093	6.83E-01	4.71E-16	8.462E-14
AT1G66800	AT1G66800	6.83E-01	2.22E-07	0.00001259
AT5G41400	AT5G41400	6.77E-01	1.29E-09	1.035E-07
AT1G21980	PIP5K1	6.76E-01	1.71E-18	3.872E-16
AT5G27780	SAUR75	6.76E-01	1.07E-05	0.0004029
AT5G57760	AT5G57760	6.76E-01	1.15E-09	9.329E-08
AT5G03670	TRM28	6.74E-01	1.80E-11	1.89E-09
AT5G22500	FAR1	6.74E-01	1.47E-07	0.000008719
AT5G18560	PUCHI	6.71E-01	1.36E-05	0.0004997
AT5G67550	AT5G67550	6.70E-01	1.61E-05	0.0005823
AT3G03840	SAUR27	6.70E-01	1.33E-05	0.000489
AT3G12710	AT3G12710	6.68E-01	4.22E-11	4.115E-09
AT5G50335	AT5G50335	6.65E-01	1.14E-06	0.00005627
AT3G25717	RTFL16	6.62E-01	6.13E-10	5.143E-08
AT1G11000	MLO4	6.62E-01	2.27E-07	0.00001288
AT1G22440	AT1G22440	6.61E-01	5.69E-08	0.000003517
AT5G52390	AT5G52390	6.60E-01	8.30E-06	0.0003205
AT4G14550	SLR	6.54E-01	1.77E-07	0.00001025
AT3G30180	CYP85A2	6.53E-01	4.56E-09	3.401E-07
AT1G22900	AT1G22900	6.53E-01	1.91E-06	0.0000887
AT1G29395	COR414-TM1	6.50E-01	2.23E-08	0.000001472
AT4G35720	AT4G35720	6.48E-01	6.57E-06	0.0002612
AT4G22560	AT4G22560	6.46E-01	1.22E-05	0.0004533
AT1G15040	GAT1_2.1	6.45E-01	5.95E-06	0.0002394
AT3G03850	SAUR26	6.44E-01	3.37E-05	0.00115
AT4G35210	AT4G35210	6.44E-01	2.51E-05	0.0008777
AT2G04090	AT2G04090	6.40E-01	2.45E-06	0.0001094
AT4G14620	AT4G14620	6.40E-01	2.04E-08	0.000001361
AT4G14622	CPuORF60	6.40E-01	2.04E-08	0.000001361
AT2G37640	EXP3	6.38E-01	9.54E-16	1.66E-13
AT4G09460	MYB6	6.35E-01	7.91E-06	0.0003062
AT1G21390	emb2170	6.34E-01	2.15E-06	0.00009796
AT5G20820	SAUR76	6.33E-01	1.45E-06	0.00006896
AT5G57780	P1R1	6.31E-01	1.68E-07	0.000009821
AT3G61160	AT3G61160	6.29E-01	5.10E-05	0.001675
AT1G02850	BGLU11	6.27E-01	8.84E-06	0.0003395
AT1G30730	AT1G30730	6.26E-01	3.16E-05	0.001085
AT5G57770	AT5G57770	6.24E-01	7.98E-12	8.696E-10
AT3G02885	GASA5	6.20E-01	1.15E-08	7.994E-07
AT2G15490	UGT73B4	6.20E-01	5.41E-05	0.001771
AT1G30190	AT1G30190	6.19E-01	1.55E-06	0.00007297
AT4G37900	AT4G37900	6.19E-01	2.55E-06	0.0001135
AT3G55720	AT3G55720	6.19E-01	3.56E-05	0.001208
AT4G17460	JAB	6.18E-01	5.52E-09	4.037E-07
AT4G30080	ARF16	6.18E-01	1.28E-12	1.554E-10
AT1G23080	PIN7	6.17E-01	1.52E-15	2.619E-13
AT4G34770	SAUR1	6.16E-01	3.24E-06	0.0001405
AT4G18970	AT4G18970	6.10E-01	1.36E-12	1.633E-10
AT5G06300	LOG7	6.09E-01	1.56E-06	0.00007323
AT3G10720	AT3G10720	6.08E-01	2.02E-13	2.623E-11
AT4G27280	AT4G27280	6.07E-01	1.05E-06	0.00005236
AT3G07010	AT3G07010	6.07E-01	3.48E-10	3.025E-08
AT4G09890	AT4G09890	6.04E-01	5.71E-06	0.0002311
AT5G61010	EXO70E2	6.04E-01	1.93E-08	0.000001296
AT2G39380	EXO70H2	5.97E-01	5.57E-07	0.00002918
AT3G50660	SNP2	5.94E-01	2.83E-08	0.000001817
AT2G18196	AT2G18196	5.90E-01	1.30E-04	0.00386
AT5G54500	FQR1	5.89E-01	2.40E-12	2.754E-10
AT4G24340	AT4G24340	5.89E-01	2.91E-06	0.0001277
AT1G30760	AT1G30760	5.89E-01	1.18E-06	0.00005773
AT1G23965	AT1G23965	5.85E-01	4.37E-05	0.001463
AT5G52910	ATIM	5.83E-01	4.62E-08	0.000002888
AT1G19220	IAA22	5.82E-01	4.69E-10	4.027E-08
AT1G13590	PSK1	5.81E-01	1.80E-04	0.005113
AT3G01490	AT3G01490	5.80E-01	1.26E-08	8.648E-07
AT4G28640	IAA11	5.78E-01	1.39E-06	0.00006647
AT2G37030	SAUR46	5.76E-01	1.51E-05	0.000548
